k[h/Mpc] dP/dk(z=0.00) dP/dk(z=0.08) dP/dk(z=0.17) dP/dk(z=0.29) dP/dk(z=0.42) dP/dk(z=0.59) dP/dk(z=0.80) dP/dk(z=1.08) dP/dk(z=1.45) dP/dk(z=2.00) 
0.00010202 4269799.39464 3933769.75826 3581144.9611 3185700.19477 2758156.53327 2338179.26385 1912962.17635 1495535.31809 1109653.56478 757435.278255 
0.00010408 4288507.22322 3953329.13673 3581667.41415 3190263.61794 2779820.19306 2348657.37415 1920139.65572 1502253.80577 1112137.05261 760927.819731 
0.00010618 4277932.94541 3935564.58125 3568389.68517 3178383.02042 2766624.16308 2343999.57794 1916033.43068 1495448.62524 1105340.98899 757976.458277 
0.00010833 4266510.21936 3924451.93486 3561958.42971 3169867.01775 2757042.30471 2336953.74173 1907870.73153 1495184.5308 1102184.12603 756077.824647 
0.00011052 4273516.96344 3937748.70603 3570705.62692 3178941.72848 2767179.42921 2340501.71483 1913452.60004 1495908.16126 1107916.90706 757758.238018 
0.00011275 4268171.64797 3930633.82564 3562282.81193 3172899.05242 2762291.51523 2337081.77217 1908581.09381 1494266.46258 1104032.82286 756312.808058 
0.00011503 4264139.35633 3927974.44535 3560032.9975 3167878.58111 2760613.48253 2333766.62846 1907452.92416 1493585.12377 1101607.76166 756333.762759 
0.00011735 4266346.35101 3926707.50918 3562405.16836 3172676.13905 2760237.08456 2336391.43821 1913285.45626 1492467.91014 1102431.54113 756114.163266 
0.00011972 4257114.93687 3918045.09367 3555394.521 3165073.78954 2753220.13326 2329332.94595 1902462.07161 1491599.36343 1102891.86081 754502.054087 
0.00012214 4246291.698 3912602.19755 3548011.15354 3156902.84461 2748885.48548 2325719.89668 1900934.4018 1485069.99698 1099622.63696 752819.434653 
0.00012461 4254941.60431 3916587.9158 3553595.24671 3164564.98462 2754507.42233 2330902.35235 1904743.42945 1488442.56354 1100193.6708 754558.245192 
0.00012712 4251477.48561 3914585.56138 3550339.32022 3160313.48193 2750787.60897 2326448.0088 1901710.2343 1488696.83763 1101719.78147 752912.335246 
0.00012969 4240230.37628 3906233.65012 3541377.30807 3151827.63345 2743185.05121 2324405.89707 1898180.22595 1486135.96595 1095683.25776 750649.040553 
0.00013231 4232550.87552 3893924.41089 3532468.95641 3145474.60104 2738721.01588 2317958.1568 1892876.01507 1480066.23878 1093611.05822 750729.791459 
0.00013499 4234143.36051 3896438.45171 3533509.0213 3150011.33561 2740258.52185 2317639.22515 1896686.72839 1480814.97684 1096059.61064 752239.806603 
0.00013771 4241383.99657 3908427.94769 3543890.75344 3153817.53645 2744230.19871 2322178.5794 1897793.75467 1485259.78334 1099707.60893 751262.641584 
0.00014049 4229943.98351 3892198.18322 3531438.59901 3141004.48081 2734247.62714 2314064.50647 1890822.20847 1480171.72753 1094322.13856 748481.538945 
0.00014333 4216338.85816 3882701.16651 3522800.28955 3136264.3885 2728181.91857 2311330.12532 1887643.00014 1476725.68513 1089083.70303 749337.359407 
0.00014623 4222420.06259 3887337.1955 3524094.02235 3140111.63442 2733105.25521 2311862.49094 1889897.47362 1477194.76602 1093002.05267 749056.688694 
0.00014918 4216374.76035 3880475.8019 3519009.9908 3133631.17682 2728734.75942 2307778.29289 1885812.04453 1475918.91775 1092513.80948 746675.872407 
0.0001522 4209952.23895 3878065.3934 3516208.23336 3130434.26333 2724682.8048 2306718.80533 1884124.49816 1473673.12676 1090059.7575 746916.597917 
0.00015527 4214095.94732 3877754.37116 3519216.52488 3132256.94016 2726814.44297 2307471.52916 1887633.18505 1476583.18666 1089001.51415 748224.511855 
0.00015841 4200230.0896 3867739.52766 3508862.54174 3123925.75096 2716462.17269 2299529.39435 1879782.67473 1470268.15276 1085638.2167 743506.716691 
0.00016161 4205764.59572 3875098.1264 3511699.23082 3128883.26663 2722812.92131 2302075.47296 1883469.52268 1472284.27974 1088863.14458 744675.643889 
0.00016487 4202606.23943 3870149.02612 3509197.80087 3122267.09692 2720205.82037 2303142.65224 1880340.26326 1473064.09552 1088264.16115 745206.876686 
0.0001682 4195089.43194 3861756.56756 3501977.08191 3119792.70012 2712470.76974 2297355.35634 1876239.00244 1467416.20152 1086244.4104 744951.170878 
0.0001716 4185198.07652 3853909.48719 3496414.98512 3111832.27321 2709328.27385 2290753.82681 1874700.13594 1465565.31497 1083912.49601 741557.22215 
0.00017507 4191127.40298 3858295.83857 3499501.59152 3114544.90027 2712397.1923 2295252.97639 1874046.42922 1465285.0226 1084745.74505 743163.167466 
